Design Variable,Best Design Variable Trial 1,Best Design Variable Trial 2,Best Design Variable Trial 3,Best Design Variable Trial 4,Best Design Variable Trial 5
1,0,0.000000,0.000000,0.000000,0.000000
2,1,0.000000,1.000000,0.000000,1.000000
3,0,1.000000,0.000000,0.000000,0.000000
4,0,1.000000,0.000000,0.000000,1.000000
5,1,0.000000,0.000000,1.000000,0.000000
6,1,0.000000,0.000000,0.000000,1.000000
7,0,0.000000,0.000000,0.000000,0.000000
8,0,0.000000,1.000000,0.000000,0.000000
9,0,0.000000,0.000000,0.000000,0.000000
10,0,0.000000,0.000000,0.000000,0.000000
11,0,1.000000,1.000000,0.000000,0.000000
12,0,0.000000,0.000000,0.000000,0.000000
13,0,0.000000,0.000000,0.000000,0.000000
14,0,0.000000,0.000000,0.000000,0.000000
15,0,0.000000,0.000000,0.000000,0.000000
16,0,1.000000,0.000000,1.000000,1.000000
17,0,0.000000,0.000000,0.000000,0.000000
18,0,0.000000,0.000000,0.000000,0.000000
19,0,0.000000,0.000000,0.000000,0.000000
20,0,0.000000,0.000000,0.000000,0.000000
21,1,0.000000,0.000000,0.000000,0.000000
22,0,0.000000,0.000000,0.000000,0.000000
23,0,0.000000,0.000000,0.000000,0.000000
24,0,0.000000,0.000000,1.000000,0.000000
25,0,0.000000,0.000000,0.000000,0.000000
26,0,0.000000,0.000000,0.000000,0.000000
27,0,1.000000,0.000000,1.000000,0.000000
28,1,0.000000,0.000000,1.000000,1.000000
29,0,0.000000,1.000000,0.000000,0.000000
30,0,0.000000,1.000000,0.000000,1.000000
31,0,0.000000,0.000000,1.000000,0.000000
32,0,0.000000,0.000000,0.000000,0.000000
33,0,0.000000,0.000000,0.000000,0.000000
34,0,0.000000,0.000000,0.000000,0.000000
35,0,1.000000,0.000000,0.000000,0.000000
36,0,0.000000,0.000000,1.000000,1.000000
37,0,0.000000,0.000000,0.000000,0.000000
38,0,0.000000,0.000000,0.000000,0.000000
39,1,0.000000,0.000000,0.000000,0.000000
40,0,0.000000,0.000000,0.000000,0.000000
41,1,0.000000,1.000000,0.000000,0.000000
42,0,0.000000,0.000000,0.000000,0.000000
43,0,0.000000,0.000000,0.000000,0.000000
44,0,0.000000,0.000000,0.000000,0.000000
45,0,0.000000,0.000000,0.000000,0.000000
46,0,1.000000,1.000000,0.000000,1.000000
47,0,0.000000,0.000000,0.000000,0.000000
48,0,0.000000,0.000000,0.000000,0.000000
49,0,0.000000,0.000000,0.000000,0.000000
50,0,0.000000,0.000000,0.000000,0.000000
