Customer_ID,Latitude,Longitude,Demand
1,11.074438,76.950294,7
2,10.999391,76.952308,16
3,11.028484,76.992642,19
4,11.01971,77.00758,17
5,10.960244,76.946386,25
6,11.030408,76.997554,23
7,10.974998,76.92626,12
8,11.050499,77.00867,12
9,11.062643,76.954211,19
10,11.032639,76.952835,16
11,10.996185,76.980316,25
12,10.959282,76.977148,22
13,11.044786,76.934706,17
14,10.985093,77.003285,22
15,10.97855,76.949185,6
16,10.979776,76.922889,15
17,11.002151,76.925957,23
18,11.063928,76.948321,25
19,11.0149,76.999621,25
20,11.009651,76.943839,12
21,11.046849,76.968508,23
22,11.005696,76.972518,16
23,10.978512,77.009778,21
24,11.014157,76.98802,8
25,10.969869,76.934398,18
