Customer_ID,Latitude,Longitude,Demand
1,11.003357,76.913811,10
2,10.979037,76.904454,7
3,10.981961,76.939429,7
4,11.078173,76.954298,18
5,11.047912,76.968177,16
6,11.061926,77.006409,11
7,10.968119,76.97828,15
8,10.958415,76.986135,7
9,11.012465,76.942167,13
10,11.024913,76.945329,16
11,11.08534,76.960603,19
12,11.019412,76.913531,19
13,11.08354,76.935853,11
14,11.08014,76.98592,19
15,11.030158,77.023404,10
16,10.951989,76.889063,20
17,11.042541,76.944463,18
18,11.035282,76.905808,5
19,11.000149,76.904814,17
20,10.974911,76.99601,6
21,11.036461,76.947816,17
22,11.062319,76.903489,20
23,11.075908,76.90413,9
24,11.031925,76.942962,8
25,10.96342,76.927236,10
26,11.004182,77.015179,15
27,11.054679,76.997515,13
28,10.96321,77.000929,10
29,11.041765,76.955973,5
30,11.028797,76.892475,11
31,10.999576,76.932946,17
32,11.000832,76.999716,7
33,10.972172,76.891063,16
34,11.047832,76.941601,19
35,10.979029,77.005301,12
36,11.038271,76.929292,15
37,10.977405,76.999098,12
38,11.000498,76.947138,7
39,11.070353,76.944755,13
40,10.956555,76.926824,15
41,11.057149,76.960454,13
42,11.007129,76.926524,10
43,10.986321,76.980754,19
44,10.974026,76.932959,11
45,10.995154,76.979189,14
46,11.081851,76.912859,10
47,11.057329,76.922338,18
48,11.050822,77.007079,12
49,11.003954,77.006445,17
50,10.947307,76.956032,11
