Customer_ID,Latitude,Longitude,Demand
1,10.946981,76.929275,10
2,11.018356,76.998611,11
3,10.983747,77.005003,18
4,11.012323,76.960144,14
5,10.97484,76.888686,8
6,11.059693,76.89638,6
7,11.081359,76.944148,16
8,11.082713,76.973496,14
9,10.973961,76.899816,17
10,11.002583,76.909915,19
11,10.992868,77.008702,19
12,11.068309,76.98305,17
13,11.005343,77.019406,10
14,10.997177,76.914866,19
15,11.026973,77.010367,17
16,10.972513,77.013575,20
17,11.026992,76.973419,20
18,11.039902,77.023061,12
19,11.086406,76.959044,8
20,10.992964,76.954977,15
21,11.038526,76.886352,13
22,11.035491,76.967412,18
23,10.983415,76.904861,6
24,11.002417,76.892486,12
25,11.024537,76.926702,19
26,10.954851,76.994304,12
27,11.05955,76.902203,10
28,10.984992,76.977757,7
29,11.025158,76.913554,10
30,11.045055,76.977164,7
31,11.050879,76.901699,9
32,11.06231,76.906828,7
33,10.951432,76.957583,17
34,10.970119,77.007722,12
35,11.032898,76.992278,10
36,10.994413,76.893194,15
37,11.06012,76.946859,14
38,10.971941,76.901359,20
39,11.036806,76.958774,5
40,10.979153,77.014154,8
41,11.056387,77.024383,19
42,11.04942,76.970144,7
43,11.069501,76.908401,10
44,11.055166,76.938036,15
45,11.029302,76.967608,5
46,10.988889,76.908036,5
47,11.070134,76.999156,14
48,10.987414,76.954742,7
49,10.952441,76.908754,15
50,11.065321,76.978759,6
51,10.999532,76.923694,12
