Customer_ID,Latitude,Longitude,Demand
1,11.0168,76.9608,5
2,11.018013,76.962486,18
3,11.019818,76.963843,14
4,11.022127,76.964715,10
5,11.024814,76.964973,9
6,11.027727,76.964514,14
7,11.030688,76.963273,10
8,11.033507,76.961228,18
9,11.035986,76.958399,8
10,11.037935,76.954851,14
11,11.039177,76.950693,10
12,11.039556,76.946074,18
13,11.038952,76.941178,17
14,11.037282,76.936217,8
15,11.034512,76.931422,7
16,11.030653,76.927034,13
17,11.025772,76.923292,14
18,11.019984,76.920425,13
19,11.013455,76.918637,10
20,11.006396,76.918101,13
21,10.999052,76.918947,8
22,10.991702,76.921256,6
23,10.98464,76.925052,7
24,10.978168,76.930299,13
25,10.972585,76.936902,20
26,10.968171,76.944701,17
27,10.965177,76.953482,9
28,10.963814,76.962977,14
29,10.964239,76.972878,20
30,10.966553,76.982839,11
31,10.970785,76.992496,14
32,10.976895,77.001475,19
33,10.984771,77.009407,13
34,10.994227,77.015945,13
35,11.005009,77.020775,10
36,11.0168,77.023632,19
37,11.029232,77.024308,14
38,11.041896,77.022668,9
39,11.054353,77.018653,11
40,11.066154,77.01229,15
41,11.076851,77.003689,9
42,11.086017,76.993048,12
43,11.093263,76.980644,16
44,11.09825,76.966833,7
45,11.100704,76.952032,12
46,11.100433,76.936711,18
47,11.097331,76.921379,9
48,11.091389,76.906564,5
49,11.082697,76.892796,15
50,11.071443,76.88059,17
51,11.057915,76.870424,7
52,11.042487,76.862725,5
53,11.025616,76.857846,18
54,11.007823,76.856058,7
55,10.98968,76.857533,18
56,10.971791,76.862337,19
57,10.95477,76.870424,8
58,10.939225,76.881631,7
59,10.92573,76.895685,5
60,10.914809,76.912207,11
61,10.906914,76.930719,7
62,10.902408,76.950663,12
63,10.90155,76.971412,14
64,10.904483,76.992294,11
65,10.911223,77.012613,8
66,10.921661,77.031671,9
67,10.935556,77.048791,13
68,10.952545,77.063345,14
69,10.97215,77.07477,10
70,10.99379,77.082598,11
